HGNC:16636	MONDO:0007308|MONDO:0008233|MONDO:0017366
HGNC:16618	MONDO:0054654
HGNC:16643	MONDO:0015263
HGNC:16644	MONDO:0012591
HGNC:16650	MONDO:0014162
HGNC:16695	MONDO:0010334
HGNC:16691	MONDO:0009624|MONDO:0014592
HGNC:16692	MONDO:0013341
HGNC:16740	MONDO:0032715
HGNC:16725	MONDO:0016575|MONDO:0013979
HGNC:16732	MONDO:0009615
HGNC:16783	MONDO:0015027|MONDO:0007767|MONDO:0007768|MONDO:0012004
HGNC:16791	MONDO:0016759|MONDO:0014874
HGNC:16762	MONDO:0009480|MONDO:0011190|MONDO:0013916
HGNC:16700	MONDO:0008542|MONDO:0012431|MONDO:0014480|MONDO:0016674
HGNC:16716	MONDO:0060622
HGNC:16873	MONDO:0004976|MONDO:0008995|MONDO:0012640|MONDO:0012945|MONDO:0012986
HGNC:16877	MONDO:0019551|MONDO:0007908|MONDO:0010877|MONDO:0011002|MONDO:0012231|MONDO:0014906|MONDO:0019549
HGNC:16841	MONDO:0010995
HGNC:16859	MONDO:0030895
HGNC:16882	MONDO:0008102|MONDO:0012061|MONDO:0013148
HGNC:16892	MONDO:0008893
HGNC:16876	MONDO:0008428
HGNC:16808	MONDO:0009479
HGNC:16812	MONDO:0012784
HGNC:16980	MONDO:0019739
HGNC:16999	MONDO:0014349
HGNC:16979	MONDO:0019739
HGNC:16974	MONDO:0007621
HGNC:16905	MONDO:0014326|MONDO:0015738|MONDO:0015737|MONDO:0015736|MONDO:0015735
HGNC:16901	MONDO:0015705|MONDO:0014418
HGNC:16915	MONDO:0012548
HGNC:16947	MONDO:0014302
HGNC:16940	MONDO:0044625
HGNC:16950	MONDO:0013659
HGNC:16951	MONDO:0033542
HGNC:16966	MONDO:0015802|MONDO:0014486
HGNC:16920	MONDO:0009176|MONDO:0032644
HGNC:16912	MONDO:0008879
HGNC:16902	MONDO:0013970
HGNC:9766	MONDO:0011872
HGNC:9768	MONDO:0015993|MONDO:0014153
HGNC:9787	MONDO:0019150
HGNC:9751	MONDO:0014335|MONDO:0018494
HGNC:9760	MONDO:0015802
HGNC:9761	MONDO:0060624
HGNC:9788	MONDO:0010949
HGNC:9722	MONDO:0019571|MONDO:0009053|MONDO:0011006|MONDO:0014706|MONDO:0014702|MONDO:0018644
HGNC:9725	MONDO:0009294
HGNC:9726	MONDO:0009293
HGNC:9752	MONDO:0009862
HGNC:9701	MONDO:0014512
HGNC:9719	MONDO:0019609|MONDO:0008954|MONDO:0008736|MONDO:0014743
HGNC:9713	MONDO:0019609|MONDO:0013951
HGNC:9717	MONDO:0019609|MONDO:0013933|MONDO:0013932
HGNC:9706	MONDO:0009151
HGNC:9891	MONDO:0019342|MONDO:0009622|MONDO:0011715
HGNC:9896	MONDO:0010711
HGNC:9870	MONDO:0014506
HGNC:9871	MONDO:0020783|MONDO:0011556|MONDO:0012017|MONDO:0012016
HGNC:9872	MONDO:0018997
HGNC:9865	MONDO:0011010|MONDO:0014229
HGNC:9721	MONDO:0009271|MONDO:0013051|MONDO:0013755
HGNC:9884	MONDO:0001187|MONDO:0002629|MONDO:0008433|MONDO:0018160|MONDO:0018161
HGNC:9878	MONDO:0017979|MONDO:0032803
HGNC:9879	MONDO:0014386
HGNC:9801	MONDO:0030913
HGNC:9802	MONDO:0033554|MONDO:0011988
HGNC:9803	MONDO:0032820
HGNC:9820	MONDO:0019391|MONDO:0003582|MONDO:0013248
HGNC:9811	MONDO:0016033|MONDO:0013864
HGNC:9816	MONDO:0013118
HGNC:9817	MONDO:0016558|MONDO:0019391|MONDO:0013790|MONDO:0014986
HGNC:9863	MONDO:0100101|MONDO:0100102|MONDO:0020344|MONDO:0014588
HGNC:9831	MONDO:0009306|MONDO:0011338|MONDO:0011086|MONDO:0012359
